nama,total_aset,penghasilan_bulanan,pengeluaran_bulanan,total_hutang,bunga_hutang,Estimasi Lunas dalam Bulan,Estimasi Lunas dalam Tahun,Total Hutang Setelah menjual asset,Estimasi Lunas dalam Bulan setelah menjual setengah asset,Estimasi Lunas dalam Tahun setelah menjual setengah asset
Laura Andrews,"Rp289,394,470","Rp21,727,583","Rp14,382,318","Rp334,410,326",14.45,29.41,2.5,189713091,9.9,0.8
Andrew Singh,"Rp66,972,561","Rp4,910,705","Rp4,910,705","Rp314,680,728",3.76,319.15,26.6,281194448,159.6,13.3
Kathryn Bautista,"Rp327,335,939","Rp38,156,028","Rp2,100,734","Rp101,127,354",14.32,2.71,0.2,0,0.0,0.0
Gabriel Price,"Rp298,629,336","Rp23,568,697","Rp10,546,310","Rp28,278,769",14.93,2.11,0.2,0,0.0,0.0
Debbie Chandler,"Rp399,261,627","Rp24,900,338","Rp21,628,490","Rp115,002,066",10.96,26.61,2.2,0,0.0,0.0
James Lopez,"Rp281,820,813","Rp44,311,634","Rp20,003,027","Rp288,777,732",14.74,10.37,0.9,147867326,2.8,0.2
Timothy Rodriguez,"Rp260,814,705","Rp42,902,996","Rp28,312,911","Rp389,299,314",8.97,22.25,1.9,258891962,7.8,0.7
Christine Guzman,"Rp54,738,553","Rp8,723,601","Rp5,081,091","Rp308,264,522",4.63,63.80,5.3,280895246,29.7,2.5
Lawrence Davis,"Rp244,564,360","Rp19,618,153","Rp18,002,437","Rp343,299,383",7.12,93.99,7.8,221017203,37.8,3.1
Donna Flores,"Rp78,574,553","Rp25,056,764","Rp22,606,265","Rp270,099,531",9.31,59.41,5.0,230812255,27.2,2.3
Robert Hayes,"Rp429,498,548","Rp5,382,357","Rp5,382,357","Rp105,200,009",2.02,594.06,49.5,0,0.0,0.0
Allison Fowler,"Rp464,810,497","Rp48,430,164","Rp14,681,730","Rp164,506,327",9.71,4.69,0.4,0,0.0,0.0
Tracy Hancock,"Rp264,403,923","Rp10,904,069","Rp10,904,069","Rp189,058,331",14.74,81.41,6.8,56856370,40.7,3.4
Ethan Murray,"Rp289,827,822","Rp16,630,084","Rp16,630,084","Rp37,134,440",3.66,327.87,27.3,0,0.0,0.0
Roger Jenkins,"Rp260,239,931","Rp35,872,680","Rp6,755,469","Rp338,260,963",12.1,10.40,0.9,208140998,3.3,0.3
Zachary Bowers,"Rp482,432,043","Rp16,781,337","Rp16,781,337","Rp118,566,180",13.71,87.53,7.3,0,0.0,0.0
Christopher Allen,"Rp367,319,431","Rp18,428,653","Rp18,428,653","Rp46,156,180",14.21,84.45,7.0,0,0.0,0.0
Victoria Gates MD,"Rp157,697,582","Rp24,023,265","Rp24,023,265","Rp272,787,335",14.44,83.10,6.9,193938544,41.6,3.5
Julie Bennett,"Rp217,724,578","Rp19,099,248","Rp16,150,540","Rp210,789,750",8.3,47.83,4.0,101927461,13.9,1.2
Tyler Morgan,"Rp157,405,005","Rp17,677,069","Rp17,677,069","Rp80,912,072",14.68,81.74,6.8,2209570,40.9,3.4
Brandon Allen,"Rp78,979,792","Rp11,480,473","Rp3,992,825","Rp95,067,502",11.6,11.31,0.9,55577606,3.5,0.3
Pamela Ramirez,"Rp47,709,731","Rp15,433,196","Rp5,832,978","Rp309,258,958",3.26,29.62,2.5,285404093,13.8,1.1
Donna Juarez,"Rp255,827,121","Rp42,010,202","Rp32,559,798","Rp177,185,519",7.68,16.74,1.4,49271959,2.5,0.2
John Davenport,"Rp171,156,967","Rp37,626,632","Rp8,152,941","Rp99,308,589",11.06,3.27,0.3,13730106,0.2,0.0
Taylor Sparks,"Rp33,027,075","Rp13,889,464","Rp13,889,464","Rp146,857,895",4.46,269.06,22.4,130344358,134.5,11.2
Bryan Benson,"Rp275,047,041","Rp15,457,080","Rp15,457,080","Rp91,717,649",9.97,120.36,10.0,0,0.0,0.0
Kathy Rodriguez,"Rp225,417,853","Rp4,222,869","Rp4,222,869","Rp146,539,881",10.33,116.17,9.7,33830955,58.1,4.8
Teresa Vargas,"Rp96,191,493","Rp18,608,046","Rp12,556,086","Rp316,827,259",3.28,45.80,3.8,268731513,19.8,1.6
Johnny Hughes,"Rp366,231,733","Rp6,125,354","Rp6,125,354","Rp309,509,395",8.91,134.68,11.2,126393529,67.3,5.6
Mrs. Kelly Moses,"Rp210,619,113","Rp12,818,159","Rp12,818,159","Rp253,335,813",11.8,101.69,8.5,148026257,50.8,4.2
Leah Howard,"Rp300,770,691","Rp14,145,552","Rp14,145,552","Rp190,806,091",7.98,150.38,12.5,40420746,75.2,6.3
Joshua Kelly,"Rp267,072,949","Rp41,337,315","Rp3,940,369","Rp181,241,025",1.17,4.82,0.4,47704551,0.6,0.1
Samantha Lewis,"Rp144,489,564","Rp43,056,064","Rp43,056,064","Rp291,739,206",1.13,1061.95,88.5,219494424,531.0,44.2
Christopher Ortiz,"Rp416,237,886","Rp30,453,447","Rp19,994,276","Rp138,759,234",6,12.44,1.0,0,0.0,0.0
Henry Woods,"Rp406,360,081","Rp18,152,994","Rp18,152,994","Rp100,289,626",13.97,85.90,7.2,0,0.0,0.0
Mr. Robert Jones,"Rp117,944,665","Rp11,083,123","Rp11,083,123","Rp120,553,905",4.2,285.71,23.8,61581573,142.9,11.9
Steven Rowe,"Rp331,066,539","Rp29,733,262","Rp29,733,262","Rp193,352,362",9.88,121.46,10.1,27819093,60.7,5.1
Debra Davis,"Rp287,020,833","Rp25,937,902","Rp16,609,307","Rp35,284,261",4.11,3.73,0.3,0,0.0,0.0
Kyle Wilson,"Rp96,544,585","Rp12,306,167","Rp12,306,167","Rp72,480,480",5.5,218.18,18.2,24208188,109.1,9.1
Lucas Roberts Jr.,"Rp95,157,821","Rp3,635,605","Rp3,635,605","Rp335,779,776",12.87,93.24,7.8,288200866,46.6,3.9
Joe Bailey,"Rp231,873,123","Rp10,479,821","Rp10,479,821","Rp148,381,494",11.2,107.14,8.9,32444933,53.6,4.5
Kendra Alvarez,"Rp430,477,197","Rp41,138,329","Rp3,946,830","Rp259,368,767",2.34,6.88,0.6,44130169,0.6,0.0
Christopher Gallagher,"Rp449,254,878","Rp45,758,171","Rp34,997,728","Rp86,560,164",7,7.68,0.6,0,0.0,0.0
Nicholas Evans,"Rp211,323,311","Rp43,968,150","Rp42,793,419","Rp130,810,555",1.41,98.47,8.2,25148900,10.4,0.9
Jennifer Pena,"Rp338,740,110","Rp3,067,661","Rp3,067,661","Rp307,269,103",7.73,155.24,12.9,137899048,77.6,6.5
John Campbell,"Rp390,072,391","Rp43,414,423","Rp40,214,493","Rp121,412,010",10.27,28.64,2.4,0,0.0,0.0
Patricia Dominguez,"Rp312,554,573","Rp10,585,153","Rp10,585,153","Rp276,278,692",2.66,451.13,37.6,120001406,225.6,18.8
Elaine Walters,"Rp314,869,078","Rp26,335,437","Rp26,335,437","Rp285,561,923",5.04,238.10,19.8,128127384,119.0,9.9
Brittany Rodgers,"Rp99,482,491","Rp33,554,810","Rp33,554,810","Rp213,706,525",6.57,182.65,15.2,163965280,91.3,7.6
Alexander Robinson,"Rp204,249,720","Rp13,466,615","Rp13,466,615","Rp363,475,509",13.87,86.52,7.2,261350649,43.3,3.6
Shane Conley,"Rp380,106,045","Rp37,861,938","Rp12,717,207","Rp36,853,087",14.91,1.44,0.1,0,0.0,0.0
Jay Gibson,"Rp333,541,287","Rp46,914,246","Rp17,540,627","Rp235,225,419",1.63,7.92,0.7,68454776,1.2,0.1
Lori Medina,"Rp416,019,796","Rp22,678,830","Rp18,169,764","Rp27,362,925",11.65,5.73,0.5,0,0.0,0.0
Mrs. Christine Hubbard,"Rp68,743,503","Rp5,966,422","Rp5,966,422","Rp304,216,758",6.2,193.55,16.1,269845007,96.8,8.1
Darren Moody,"Rp101,693,393","Rp6,708,654","Rp6,188,891","Rp188,657,022",6.49,122.50,10.2,137810326,54.5,4.5
Jackie Hardy,"Rp180,476,398","Rp36,672,465","Rp11,014,653","Rp189,339,988",11.56,6.89,0.6,99101789,1.9,0.2
Mr. Michael Johnson,"Rp348,175,028","Rp45,573,305","Rp16,064,147","Rp46,537,804",13.86,1.55,0.1,0,0.0,0.0
Catherine Owens,"Rp382,593,431","Rp47,653,349","Rp22,808,635","Rp318,580,705",14.31,11.12,0.9,127283990,2.4,0.2
Frederick Wood,"Rp468,502,041","Rp8,872,354","Rp8,872,354","Rp180,899,907",9.08,132.16,11.0,0,0.0,0.0
Angela Cook,"Rp397,643,608","Rp31,084,082","Rp31,084,082","Rp34,754,469",6,200.00,16.7,0,0.0,0.0
Collin Khan,"Rp142,862,715","Rp37,769,934","Rp4,363,999","Rp230,441,502",12.03,6.45,0.5,159010145,2.3,0.2
Richard Carey,"Rp469,708,603","Rp18,540,184","Rp18,540,184","Rp138,719,610",4.51,266.08,22.2,0,0.0,0.0
Brian Henderson,"Rp193,378,299","Rp16,014,646","Rp6,790,691","Rp164,916,278",8.9,15.79,1.3,68227129,3.5,0.3
Jennifer Simon,"Rp121,665,644","Rp12,810,404","Rp12,810,404","Rp25,729,471",6.02,199.34,16.6,0,0.0,0.0
Sarah Irwin,"Rp78,394,024","Rp47,705,819","Rp23,003,105","Rp59,148,890",10.19,2.35,0.2,19951878,0.4,0.0
Alexandra Andrade,"Rp208,743,196","Rp22,096,265","Rp11,852,415","Rp270,690,948",4.37,24.11,2.0,166319350,7.7,0.6
Arthur Mendez,"Rp234,184,334","Rp9,292,518","Rp9,292,518","Rp261,648,728",3.68,326.09,27.2,144556561,163.0,13.6
Jessica Burns,"Rp182,945,196","Rp44,142,200","Rp35,321,714","Rp122,680,480",13.86,11.98,1.0,31207882,1.7,0.1
Ronnie Roberts,"Rp330,192,576","Rp38,747,046","Rp13,186,361","Rp131,118,083",2.43,5.08,0.4,0,0.0,0.0
Daniel Ford,"Rp77,157,848","Rp20,547,389","Rp20,547,389","Rp318,354,131",8.08,148.51,12.4,279775207,74.3,6.2
Courtney Mitchell,"Rp490,550,726","Rp47,612,395","Rp34,371,979","Rp70,532,833",4.09,5.23,0.4,0,0.0,0.0
Bruce Clay,"Rp217,882,760","Rp25,419,480","Rp25,419,480","Rp369,011,161",1.55,774.19,64.5,260069781,387.1,32.3
Michele Hutchinson,"Rp105,540,567","Rp34,041,091","Rp30,175,911","Rp346,048,701",1.5,80.52,6.7,293278418,34.7,2.9
Jordan Davis,"Rp95,390,464","Rp37,021,442","Rp35,814,548","Rp22,296,381",3.45,17.54,1.5,0,0.0,0.0
Adam Shaw,"Rp326,606,443","Rp38,209,448","Rp8,086,368","Rp273,057,276",13.13,8.25,0.7,109754055,1.8,0.1
Kyle Hall,"Rp196,780,295","Rp49,523,537","Rp30,207,970","Rp377,977,115",4.95,18.11,1.5,279586968,6.8,0.6
Gabriella Mejia,"Rp33,717,335","Rp40,775,470","Rp13,950,831","Rp204,672,072",14.31,6.99,0.6,187813405,3.2,0.3
Jeffrey Davis,"Rp70,472,382","Rp29,089,699","Rp29,089,699","Rp301,625,523",9.14,131.29,10.9,266389332,65.6,5.5
Stephanie Smith,"Rp291,154,698","Rp28,153,646","Rp28,153,646","Rp190,576,933",7.11,168.78,14.1,44999584,84.4,7.0
Laura Ruiz,"Rp327,150,706","Rp13,511,829","Rp13,511,829","Rp180,207,857",9.12,131.58,11.0,16632504,65.8,5.5
Jamie Blackwell,"Rp361,574,608","Rp40,435,425","Rp15,607,851","Rp371,115,026",8.23,13.56,1.1,190327722,3.6,0.3
Robert Burgess,"Rp380,835,847","Rp49,674,542","Rp13,360,589","Rp46,156,155",11.62,1.26,0.1,0,0.0,0.0
Dennis Shah,"Rp456,707,362","Rp39,122,535","Rp39,122,535","Rp281,381,611",4.95,242.42,20.2,53027930,121.2,10.1
Anthony Stephens,"Rp182,552,610","Rp45,024,304","Rp31,124,900","Rp117,940,481",5.94,8.14,0.7,26664176,1.0,0.1
Joseph Bradford,"Rp101,355,424","Rp11,411,883","Rp11,411,883","Rp312,678,126",13.52,88.76,7.4,262000414,44.4,3.7
Brandy Dawson,"Rp465,094,650","Rp14,082,322","Rp14,082,322","Rp119,537,835",14.25,84.21,7.0,0,0.0,0.0
Mark Davis,"Rp328,019,332","Rp19,203,305","Rp17,648,245","Rp366,916,267",13.5,64.57,5.4,202906601,26.4,2.2
Cristina Holmes,"Rp230,335,593","Rp13,848,680","Rp13,848,680","Rp280,139,016",6.87,174.67,14.6,164971220,87.3,7.3
Ashley Krause,"Rp475,856,742","Rp43,036,964","Rp7,540,070","Rp23,562,775",11.93,0.66,0.1,0,0.0,0.0
Kyle Foster,"Rp121,999,993","Rp18,922,693","Rp18,922,693","Rp302,448,405",7.67,156.45,13.0,241448409,78.2,6.5
Brian Kelly,"Rp181,625,499","Rp41,750,899","Rp8,491,878","Rp341,077,954",7.97,9.60,0.8,250265205,3.6,0.3
Joseph Bridges,"Rp495,775,494","Rp25,730,009","Rp25,730,009","Rp25,709,963",3.87,310.08,25.8,0,0.0,0.0
Patrick Weber,"Rp439,662,408","Rp38,555,041","Rp3,960,826","Rp370,965,787",9.28,9.90,0.8,151134583,2.1,0.2
Pamela Schmitt,"Rp329,763,211","Rp45,855,866","Rp4,844,664","Rp114,242,141",3.61,2.76,0.2,0,0.0,0.0
Robert Ferguson,"Rp357,454,369","Rp12,192,300","Rp12,192,300","Rp214,429,465",5.64,212.77,17.7,35702281,106.4,8.9
Thomas Jefferson,"Rp419,783,328","Rp12,549,765","Rp12,549,765","Rp378,722,388",12.97,92.52,7.7,168830724,46.3,3.9
Christopher Simon,"Rp282,981,039","Rp15,248,352","Rp4,090,212","Rp331,323,959",3.9,27.08,2.3,189833440,8.1,0.7
Misty Brown,"Rp271,917,078","Rp35,359,860","Rp35,359,860","Rp379,432,985",2,600.00,50.0,243474446,300.0,25.0
Kyle Li,"Rp198,296,765","Rp37,499,221","Rp35,707,431","Rp198,783,458",1.97,93.85,7.8,99635076,25.5,2.1
Shawn Kim,"Rp332,909,911","Rp31,272,916","Rp23,320,139","Rp77,894,131",14.17,8.78,0.7,0,0.0,0.0
David Santiago,"Rp185,760,164","Rp28,691,717","Rp27,227,191","Rp135,394,657",8.1,56.93,4.7,42514575,12.1,1.0
Christopher Weber,"Rp459,280,098","Rp17,752,367","Rp17,752,367","Rp328,629,998",6.73,178.31,14.9,98989949,89.2,7.4
Andrea Sanchez,"Rp402,121,003","Rp22,032,579","Rp6,600,108","Rp289,586,321",12.35,15.73,1.3,88525820,2.7,0.2
Mary Jones,"Rp63,933,927","Rp33,354,781","Rp13,393,942","Rp117,303,032",12.7,5.53,0.5,85336069,2.0,0.2
John Lee,"Rp116,179,285","Rp44,930,173","Rp4,854,190","Rp264,868,950",5.65,6.41,0.5,206779308,2.5,0.2
Sarah Lewis,"Rp62,453,338","Rp19,514,877","Rp3,284,382","Rp336,785,087",10.71,17.51,1.5,305558418,8.1,0.7
Elizabeth Wong,"Rp273,038,498","Rp41,611,293","Rp9,196,042","Rp397,764,228",11.8,10.95,0.9,261244979,3.7,0.3
Michele Pineda,"Rp427,534,912","Rp9,436,446","Rp9,436,446","Rp246,359,467",10.17,117.99,9.8,32592011,59.0,4.9
Tara Gilbert,"Rp44,045,666","Rp40,703,319","Rp21,432,053","Rp22,071,962",3.12,1.14,0.1,49129,0.0,0.0
Bridget Taylor,"Rp425,375,278","Rp29,372,918","Rp13,872,847","Rp44,265,186",13.26,2.77,0.2,0,0.0,0.0
Allison Moore,"Rp389,008,461","Rp12,057,014","Rp12,057,014","Rp138,640,480",8.55,140.35,11.7,0,0.0,0.0
Richard Smith,"Rp434,831,618","Rp23,446,082","Rp23,446,082","Rp10,432,019",4.95,242.42,20.2,0,0.0,0.0
Christopher Evans,"Rp56,321,408","Rp41,166,770","Rp5,257,181","Rp224,805,967",6.95,6.04,0.5,196645263,2.7,0.2
Dr. Amy Jennings MD,"Rp425,450,116","Rp14,242,014","Rp14,242,014","Rp327,569,281",1.53,784.31,65.4,114844223,392.2,32.7
Mark Thompson,"Rp273,183,577","Rp20,810,471","Rp20,810,471","Rp283,827,490",2.79,430.11,35.8,147235702,215.1,17.9
Keith Rogers,"Rp486,676,598","Rp43,636,644","Rp43,636,644","Rp268,398,311",11.72,102.39,8.5,25060012,51.2,4.3
Joshua Contreras,"Rp100,053,374","Rp14,441,374","Rp14,441,374","Rp21,394,487",1,1200.00,100.0,0,0.0,0.0
Kayla Vincent,"Rp36,063,245","Rp28,706,501","Rp17,686,144","Rp304,106,459",6.83,23.85,2.0,286074837,11.3,0.9
Brian Trujillo,"Rp183,660,954","Rp34,055,169","Rp12,856,760","Rp248,393,582",8.32,10.84,0.9,156563105,3.5,0.3
Brian Flynn,"Rp107,636,744","Rp6,094,235","Rp6,094,235","Rp219,239,142",1.76,681.82,56.8,165420770,340.9,28.4
Edward Small,"Rp377,919,310","Rp29,337,283","Rp25,284,856","Rp185,955,589",14.62,29.43,2.5,0,0.0,0.0
Elizabeth Davis,"Rp235,661,966","Rp25,763,342","Rp10,705,956","Rp135,061,971",4.17,8.70,0.7,17230988,0.6,0.0
Jessica Mcgrath,"Rp486,272,473","Rp22,636,869","Rp22,636,869","Rp378,838,791",5.26,228.14,19.0,135702555,114.1,9.5
David Reyes,"Rp119,174,313","Rp30,132,021","Rp11,714,891","Rp317,119,030",5.26,16.01,1.3,257531874,6.6,0.5
Justin Glover,"Rp286,323,195","Rp36,942,384","Rp27,258,148","Rp130,739,862",4.23,12.89,1.1,0,0.0,0.0
Teresa Beck,"Rp473,390,156","Rp30,375,197","Rp4,320,688","Rp336,047,551",1.02,12.76,1.1,99352473,1.9,0.2
Melissa Russell,"Rp339,506,482","Rp20,807,333","Rp3,805,808","Rp81,802,238",11.21,4.60,0.4,0,0.0,0.0
Nicole Howard,"Rp144,987,326","Rp38,912,253","Rp11,709,175","Rp393,179,522",14.54,12.30,1.0,320685859,5.2,0.4
Emily Patterson,"Rp99,178,975","Rp35,216,504","Rp35,216,504","Rp301,999,427",4.14,289.86,24.2,252409940,144.9,12.1
Nicole Mercer,"Rp59,007,334","Rp45,468,174","Rp40,090,551","Rp59,351,768",10.28,10.08,0.8,29848101,2.6,0.2
James Moon,"Rp441,086,832","Rp19,263,882","Rp19,263,882","Rp393,822,830",11.39,105.36,8.8,173279414,52.7,4.4
Scott Flowers,"Rp286,406,835","Rp42,138,695","Rp22,792,686","Rp242,557,541",12.88,11.05,0.9,99354124,2.4,0.2
Charles Brown,"Rp281,766,524","Rp36,799,193","Rp36,799,193","Rp381,429,758",6.92,173.41,14.5,240546496,86.7,7.2
Christina Burch,"Rp46,810,847","Rp47,914,860","Rp13,666,027","Rp299,228,500",5.24,8.42,0.7,275823077,3.9,0.3
Kimberly Williams,"Rp312,864,259","Rp19,612,651","Rp19,612,651","Rp147,547,170",5.55,216.22,18.0,0,0.0,0.0
Miss Tracie Rogers,"Rp149,871,965","Rp11,386,180","Rp11,386,180","Rp61,501,560",10.98,109.29,9.1,0,0.0,0.0
Tim Hendrix,"Rp71,553,124","Rp36,618,755","Rp14,617,619","Rp236,698,036",12.43,9.68,0.8,200921474,4.2,0.3
Kathryn James,"Rp458,469,222","Rp18,296,274","Rp18,296,274","Rp148,049,652",3.54,338.98,28.2,0,0.0,0.0
Misty Thompson,"Rp161,968,492","Rp35,686,304","Rp11,955,661","Rp125,958,253",6.19,5.17,0.4,44974007,0.9,0.1
Derek Moore,"Rp181,116,174","Rp11,040,979","Rp11,040,979","Rp44,722,995",13.63,88.04,7.3,0,0.0,0.0
